drwxrwxrwx   - yarn   hadoop          0 2015-10-20 13:26 /app-logs
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:42 /app-logs/ambari-qa/logs/application_1445411028192_0017
-rw-r-----   2 ambari-qa hadoop       1755 2015-10-21 00:42 /app-logs/ambari-qa/logs/application_1445411028192_0017/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop        356 2015-10-21 00:42 /app-logs/ambari-qa/logs/application_1445411028192_0017/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:43 /app-logs/ambari-qa/logs/application_1445411028192_0018
-rw-r-----   2 ambari-qa hadoop       1544 2015-10-21 00:43 /app-logs/ambari-qa/logs/application_1445411028192_0018/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       7605 2015-10-21 00:43 /app-logs/ambari-qa/logs/application_1445411028192_0018/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:45 /app-logs/ambari-qa/logs/application_1445411028192_0019
-rw-r-----   2 ambari-qa hadoop      25838 2015-10-21 00:45 /app-logs/ambari-qa/logs/application_1445411028192_0019/mure04.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:45 /app-logs/ambari-qa/logs/application_1445411028192_0020
-rw-r-----   2 ambari-qa hadoop       8460 2015-10-21 00:45 /app-logs/ambari-qa/logs/application_1445411028192_0020/mure04.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:46 /app-logs/ambari-qa/logs/application_1445411028192_0021
-rw-r-----   2 ambari-qa hadoop       7998 2015-10-21 00:46 /app-logs/ambari-qa/logs/application_1445411028192_0021/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop      16466 2015-10-21 00:46 /app-logs/ambari-qa/logs/application_1445411028192_0021/mure05.cloud.hortonworks.com_45454
